Date;Temp;Origine;Site
22/4/1895 00:00:00;14.10;11;19
23/4/1895 00:00:00;14.80;11;19
24/4/1895 00:00:00;15.00;11;19
25/4/1895 00:00:00;15.10;11;19
26/4/1895 00:00:00;15.30;11;19
27/4/1895 00:00:00;14.90;11;19
5/5/1895 00:00:00;14.40;11;19
6/5/1895 00:00:00;14.20;11;19
8/5/1895 00:00:00;15.40;11;19
9/5/1895 00:00:00;16.10;11;19
10/5/1895 00:00:00;16.80;11;19
11/5/1895 00:00:00;17.30;11;19
12/5/1895 00:00:00;18.10;11;19
13/5/1895 00:00:00;18.60;11;19
14/5/1895 00:00:00;19.30;11;19
15/5/1895 00:00:00;19.10;11;19
16/5/1895 00:00:00;18.10;11;19
17/5/1895 00:00:00;16.70;11;19
18/5/1895 00:00:00;16.20;11;19
19/5/1895 00:00:00;15.30;11;19
20/5/1895 00:00:00;15.00;11;19
21/5/1895 00:00:00;15.00;11;19
22/5/1895 00:00:00;16.80;11;19
23/5/1895 00:00:00;15.60;11;19
24/5/1895 00:00:00;16.80;11;19
25/5/1895 00:00:00;16.70;11;19
26/5/1895 00:00:00;16.50;11;19
27/5/1895 00:00:00;17.00;11;19
28/5/1895 00:00:00;17.60;11;19
29/5/1895 00:00:00;18.10;11;19
30/5/1895 00:00:00;19.10;11;19
31/5/1895 00:00:00;19.50;11;19
1/6/1895 00:00:00;19.40;11;19
2/6/1895 00:00:00;19.10;11;19
3/6/1895 00:00:00;19.40;11;19
4/6/1895 00:00:00;19.40;11;19
5/6/1895 00:00:00;19.00;11;19
6/6/1895 00:00:00;19.50;11;19
7/6/1895 00:00:00;19.40;11;19
8/6/1895 00:00:00;19.70;11;19
9/6/1895 00:00:00;20.40;11;19
10/6/1895 00:00:00;20.70;11;19
11/6/1895 00:00:00;20.30;11;19
12/6/1895 00:00:00;20.30;11;19
13/6/1895 00:00:00;19.50;11;19
14/6/1895 00:00:00;19.40;11;19
15/6/1895 00:00:00;18.40;11;19
16/6/1895 00:00:00;18.80;11;19
17/6/1895 00:00:00;19.30;11;19
18/6/1895 00:00:00;19.90;11;19
19/6/1895 00:00:00;20.00;11;19
20/6/1895 00:00:00;20.10;11;19
21/6/1895 00:00:00;20.10;11;19
22/6/1895 00:00:00;20.10;11;19
23/6/1895 00:00:00;20.70;11;19
24/6/1895 00:00:00;20.80;11;19
25/6/1895 00:00:00;20.90;11;19
26/6/1895 00:00:00;21.10;11;19
27/6/1895 00:00:00;21.70;11;19
28/6/1895 00:00:00;22.00;11;19
29/6/1895 00:00:00;22.50;11;19
30/6/1895 00:00:00;22.60;11;19
1/7/1895 00:00:00;22.50;11;19
2/7/1895 00:00:00;22.10;11;19
3/7/1895 00:00:00;20.70;11;19
4/7/1895 00:00:00;20.70;11;19
5/7/1895 00:00:00;20.60;11;19
6/7/1895 00:00:00;20.70;11;19
7/7/1895 00:00:00;20.60;11;19
8/7/1895 00:00:00;21.20;11;19
9/7/1895 00:00:00;21.50;11;19
10/7/1895 00:00:00;21.90;11;19
11/7/1895 00:00:00;21.90;11;19
12/7/1895 00:00:00;21.50;11;19
13/7/1895 00:00:00;20.70;11;19
11/8/1895 00:00:00;20.70;11;19
12/8/1895 00:00:00;20.50;11;19
13/8/1895 00:00:00;20.30;11;19
14/8/1895 00:00:00;19.50;11;19
15/8/1895 00:00:00;19.70;11;19
16/8/1895 00:00:00;19.90;11;19
17/8/1895 00:00:00;20.10;11;19
25/8/1895 00:00:00;21.80;11;19
26/8/1895 00:00:00;21.70;11;19
27/8/1895 00:00:00;21.70;11;19
28/8/1895 00:00:00;21.90;11;19
29/8/1895 00:00:00;21.70;11;19
30/8/1895 00:00:00;21.80;11;19
31/8/1895 00:00:00;21.90;11;19
1/9/1895 00:00:00;21.70;11;19
2/9/1895 00:00:00;22.00;11;19
3/9/1895 00:00:00;22.10;11;19
4/9/1895 00:00:00;22.80;11;19
5/9/1895 00:00:00;22.70;11;19
6/9/1895 00:00:00;23.00;11;19
15/9/1895 00:00:00;20.10;11;19
17/9/1895 00:00:00;19.50;11;19
18/9/1895 00:00:00;19.50;11;19
19/9/1895 00:00:00;19.70;11;19
21/9/1895 00:00:00;18.90;11;19
22/9/1895 00:00:00;18.70;11;19
23/9/1895 00:00:00;19.00;11;19
24/9/1895 00:00:00;19.50;11;19
25/9/1895 00:00:00;19.90;11;19
26/9/1895 00:00:00;20.10;11;19
27/9/1895 00:00:00;20.10;11;19
28/9/1895 00:00:00;20.20;11;19
29/9/1895 00:00:00;20.00;11;19
30/9/1895 00:00:00;19.90;11;19
1/10/1895 00:00:00;19.70;11;19
2/10/1895 00:00:00;18.10;11;19
3/10/1895 00:00:00;18.10;11;19
4/10/1895 00:00:00;17.30;11;19
5/10/1895 00:00:00;16.20;11;19
13/10/1895 00:00:00;14.40;11;19
14/10/1895 00:00:00;14.40;11;19
15/10/1895 00:00:00;14.50;11;19
16/10/1895 00:00:00;14.80;11;19
17/10/1895 00:00:00;14.20;11;19
18/10/1895 00:00:00;13.60;11;19
19/10/1895 00:00:00;12.90;11;19
3/11/1895 00:00:00;7.30;11;19
4/11/1895 00:00:00;7.40;11;19
5/11/1895 00:00:00;7.80;11;19
6/11/1895 00:00:00;8.40;11;19
7/11/1895 00:00:00;9.90;11;19
8/11/1895 00:00:00;10.10;11;19
9/11/1895 00:00:00;10.70;11;19
10/11/1895 00:00:00;10.80;11;19
11/11/1895 00:00:00;10.90;11;19
12/11/1895 00:00:00;10.80;11;19
13/11/1895 00:00:00;11.00;11;19
14/11/1895 00:00:00;10.60;11;19
15/11/1895 00:00:00;10.60;11;19
16/11/1895 00:00:00;11.00;11;19
17/11/1895 00:00:00;11.20;11;19
18/11/1895 00:00:00;11.00;11;19
19/11/1895 00:00:00;10.60;11;19
20/11/1895 00:00:00;10.40;11;19
21/11/1895 00:00:00;10.00;11;19
22/11/1895 00:00:00;9.90;11;19
23/11/1895 00:00:00;9.70;11;19
24/11/1895 00:00:00;8.20;11;19
